uid,lot_title,lot_url,full_cost,avg_resell_price,net_profit,percentage_profit
0,"AHD Eyeball Mini Dome, DSIR HRV-AHD-G",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-477dcd95-814f-469c-a3f6-af6201605a47,22.2,69.64,35.032,157.8018018018018
298,"Paul Valentine Womens Vindemia Watch, Khaki",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-8096eb88-5bb1-473b-ba53-af620161afec,22.2,57.49,22.882000000000005,103.0720720720721
232,"Agrimin Alltrace High Iodine For Cattle, 20 Pack, Expiry 02/24",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-e63372e3-c6bb-41c0-bda1-af6201616366,22.2,110.0,75.392,339.6036036036036
153,Samsonite Laptop Backpack GuardIT 2.0 15.6 Inch Polyester Black 30 x 20 x 44 cm,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-846e62fc-c32d-4f65-92cc-af6201610864,22.2,36.78,2.1720000000000024,9.783783783783795
155,"Four Scottish Made Homewares to include 3x Stag Bottle Openers, Oak, 1x Set Of Stag Egg Holders, Oak",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-65c82840-6eb4-4da2-b964-af6201610aa9,22.2,329.36,294.752,1327.7117117117118
156,"Set of Twelve Sambonet Motif End Teaspoons, Stainless Steel",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-51c64df0-8e91-47ad-8f7a-af6201610be3,22.2,8.94,-25.668,-115.62162162162161
159,"Three Scottish Made Kitchen Items to include 2x Stag And Oak Ceramic Butter Dishes, White And Oak, 1",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-e6bedaf8-4895-4eb2-9aba-af6201610fb2,22.2,20.0,-14.607999999999999,-65.8018018018018
234,"Two VOSS.farming Electric Fence Polywire, 400 m",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-dc0957ad-61bc-41fa-a52a-af62016165b5,22.2,29.74,-4.868,-21.92792792792793
160,"Three Scottish Made Stag And Oak Small Storage Jars, White And Oak. Box damaged",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-2bb6c6c1-a3f5-4fa9-b592-af62016110d0,22.2,15.99,-18.618,-83.86486486486487
164,"Two Scottish Made Stag And Oak Medium Storage Jars, White And Oak",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-0f0bab64-8bcb-4037-83d2-af620161157c,22.2,49.74,15.132000000000001,68.16216216216216
